Date,Stock,Entry,Exit,Qty,Invested,PnL,PnL_%,Cumulative_PnL,Result,Stop_Loss,Target,RF_Conf,XGB_Conf
2025-03-10,RELIANCE.NS,1233.47,1242.34,1.0,1233.47,8.86,0.72,141.19,HOLD_CLOSE,1195.28,1309.86,0.544,0.671
2025-03-13,RELIANCE.NS,1242.94,1233.92,1.0,1242.94,-9.01,-0.73,132.18,HOLD_CLOSE,1206.49,1315.83,0.528,0.685
2025-03-17,RELIANCE.NS,1233.92,1233.92,1.0,1233.92,0.0,0.0,132.18,HOLD_CLOSE,1197.48,1306.8,0.556,0.609
2025-04-01,RELIANCE.NS,1247.62,1246.17,1.0,1247.62,-1.44,-0.12,130.74,HOLD_CLOSE,1213.67,1315.52,0.537,0.768
2025-04-03,RELIANCE.NS,1243.73,1211.3,1.0,1243.73,-32.43,-2.61,98.31,STOP_LOSS,1211.3,1308.59,0.521,0.633
2025-04-08,RELIANCE.NS,1177.5,1180.63,1.0,1177.5,3.14,0.27,101.45,HOLD_CLOSE,1133.96,1264.56,0.572,0.777
2025-04-15,RELIANCE.NS,1235.17,1234.37,1.0,1235.17,-0.8,-0.06,100.65,HOLD_CLOSE,1191.19,1323.12,0.551,0.595
2025-04-22,RELIANCE.NS,1286.06,1294.83,1.0,1286.06,8.77,0.68,109.42,HOLD_CLOSE,1242.27,1373.64,0.549,0.666
2025-04-25,RELIANCE.NS,1295.23,1363.35,1.0,1295.23,68.13,5.26,177.55,HOLD_CLOSE,1252.9,1379.87,0.541,0.629
2025-05-09,RELIANCE.NS,1371.72,1430.79,1.0,1371.72,59.06,4.31,236.61,HOLD_CLOSE,1327.26,1460.64,0.482,0.807
2025-05-13,RELIANCE.NS,1410.07,1418.73,1.0,1410.07,8.67,0.61,245.28,HOLD_CLOSE,1361.84,1506.52,0.506,0.797
2025-05-20,RELIANCE.NS,1418.93,1423.51,1.0,1418.93,4.58,0.32,249.86,HOLD_CLOSE,1374.8,1507.2,0.453,0.779
2025-05-21,RELIANCE.NS,1423.51,1403.79,1.0,1423.51,-19.72,-1.39,230.14,HOLD_CLOSE,1380.6,1509.34,0.485,0.775
2025-05-22,RELIANCE.NS,1403.79,1421.12,1.0,1403.79,17.33,1.23,247.47,HOLD_CLOSE,1360.5,1490.39,0.523,0.858
2025-05-23,RELIANCE.NS,1421.12,1429.09,1.0,1421.12,7.97,0.56,255.44,HOLD_CLOSE,1378.02,1507.34,0.532,0.805
2025-05-26,RELIANCE.NS,1429.09,1416.44,1.0,1429.09,-12.65,-0.89,242.79,HOLD_CLOSE,1387.37,1512.54,0.529,0.616
2025-05-27,RELIANCE.NS,1416.44,1407.28,1.0,1416.44,-9.16,-0.65,233.63,HOLD_CLOSE,1375.23,1498.86,0.549,0.795
2025-05-28,RELIANCE.NS,1407.28,1412.16,1.0,1407.28,4.88,0.35,238.51,HOLD_CLOSE,1367.74,1486.35,0.518,0.647
2025-05-29,RELIANCE.NS,1412.16,1415.25,1.0,1412.16,3.09,0.22,241.6,HOLD_CLOSE,1374.23,1488.02,0.543,0.821
2025-05-30,RELIANCE.NS,1415.25,1408.08,1.0,1415.25,-7.17,-0.51,234.43,HOLD_CLOSE,1377.8,1490.15,0.499,0.72
2025-06-03,RELIANCE.NS,1399.91,1417.84,1.0,1399.91,17.93,1.28,252.36,HOLD_CLOSE,1362.65,1474.43,0.521,0.782
2025-06-05,RELIANCE.NS,1436.66,1437.76,1.0,1436.66,1.1,0.08,253.46,HOLD_CLOSE,1399.2,1511.58,0.496,0.648
2025-07-24,RELIANCE.NS,1397.32,1386.16,1.0,1397.32,-11.16,-0.8,242.3,HOLD_CLOSE,1362.16,1467.63,0.546,0.619
2025-07-25,RELIANCE.NS,1386.16,1382.08,1.0,1386.16,-4.08,-0.29,238.22,HOLD_CLOSE,1351.51,1455.47,0.552,0.687
2025-07-29,RELIANCE.NS,1411.46,1404.49,1.0,1411.46,-6.97,-0.49,231.25,HOLD_CLOSE,1375.36,1483.68,0.566,0.745
2025-07-31,RELIANCE.NS,1384.67,1388.16,1.0,1384.67,3.49,0.25,234.74,HOLD_CLOSE,1348.38,1457.25,0.564,0.73
